,Asset No,NAV_x,NAV_y
5298,4805,9546.62,8569.91
5301,4808,421867.7,412719.65
5310,5146,1115.83,1028.35
5383,5239,84978.33,84332.0
5398,5285,10483.34,10404.78
5528,6115,2467709.56,2353361.28
5734,40633,5418.73,5382.63
5825,55624,47811.38,46378.2
6077,73623,1869823.81,1801630.24
6078,74623,488731.6,474492.24
6079,75623,274979.98,264951.3
6169,83623,59638.15,57949.76
6170,97623,4183.13,4067.9
6183,97636,28634.5,27886.2
6191,97644,30110.61,29917.6
6214,107658,11000.04,10719.77
6407,160647,93735.59,91745.32
6455,190635,736554.76,721541.15
6459,190639,36653.92,35974.71
6582,219647,413.97,203.03
6605,226649,2411.98,1592.56
6609,226653,867.5,572.79
6610,226654,8937.51,8109.43
6637,248648,471.96,391.78
6711,263645,7854.71,6854.05
6712,263646,9019.78,7706.54
6714,272644,1066.66,930.77
6716,272646,1770.0,1569.56
6718,278645,23166.65,20805.55
6720,278647,1233.35,1107.65
6721,278648,8329.33,7480.42
6722,278649,4166.65,3741.99
6723,278650,4499.98,4041.35
6725,278652,1249.97,1122.57
6726,278653,15275.02,13718.23
6727,278654,2253.36,2023.71
6728,295644,155876.83,153757.45
6729,295645,4869.33,4248.99
6730,295646,86931.56,78863.07
6732,295648,4013.08,3641.26
6733,295649,5291.98,4801.66
6734,296665,2383.35,2162.53
6735,297644,51434.13,46192.07
6736,299644,7741752.8,7509687.37
6738,325644,47134.81,43131.58
6739,325645,71459.99,65390.78
